"","UNQ_NO","Search.Query"
"7527",7527,"충청북도 청년떡볶이"
"7532",7532,"충청북도 청춘닭꼬치"
"7543",7543,"충청북도 치킨더홈"
"7544",7544,"충청북도 치킨마루"
"7569",7569,"충청북도 콩카페"
"7631",7631,"충청북도 프랭크버거"
"7642",7642,"충청북도 피자스쿨"
"7643",7643,"충청북도 피자스톰"
"7657",7657,"충청북도 학사주점"
"7674",7674,"충청북도 해장쿡"
"7676",7676,"충청북도 핵밥"
"7679",7679,"충청북도 현대옥"
"7680",7680,"충청북도 형제반점"
"7692",7692,"충청북도 홍수계찜닭"
"7703",7703,"충청북도 후라이드참잘하는집"
"7705",7705,"충청북도 후쿠오카함바그"
"7734",7734,"충청남도 T.G.I.F"
"7738",7738,"충청남도 가마치통닭"
"7752",7752,"충청남도 경성밥상"
"7765",7765,"충청남도 고래맥주창고"
"7768",7768,"충청남도 고봉민김밥인"
"7772",7772,"충청남도 곤트란쉐리에"
"7774",7774,"충청남도 곱분이곱창"
"7781",7781,"충청남도 구구족"
"7810",7810,"충청남도 깐부치킨"
"7847",7847,"충청남도 대독장"
"7864",7864,"충청남도 돈까스회관"
"7880",7880,"충청남도 두끼"
"7897",7897,"충청남도 뚱스밥버거"
"7902",7902,"충청남도 라멘짱"
"7904",7904,"충청남도 라밥"
"7907",7907,"충청남도 라홍방마라탕"
"7923",7923,"충청남도 마라하오"
"7946",7946,"충청남도 메이크어딜리버리"
"7949",7949,"충청남도 멘무샤"
"7952",7952,"충청남도 명동칼국수"
"7974",7974,"충청남도 미아리우동집"
"7976",7976,"충청남도 미카도스시"
"7995",7995,"충청남도 배달삼겹 직구삼"
"8004",8004,"충청남도 뱃살도둑"
"8052",8052,"충청남도 사위식당"
"8062",8062,"충청남도 상해반점"
"8071",8071,"충청남도 생활맥주"
"8074",8074,"충청남도 샤오바오"
"8075",8075,"충청남도 샤이바나"
"8086",8086,"충청남도 소노야"
"8089",8089,"충청남도 소바애"
"8092",8092,"충청남도 솥솥"
"8098",8098,"충청남도 수지상회"
"8100",8100,"충청남도 순남시래기"
"8109",8109,"충청남도 스시화"
"8145",8145,"충청남도 얌샘김밥"
"8148",8148,"충청남도 양산도"
"8149",8149,"충청남도 어사출또"
"8155",8155,"충청남도 에슬로우"
"8158",8158,"충청남도 여우애 김밥"
"8161",8161,"충청남도 연안식당"
"8172",8172,"충청남도 오목집"
"8176",8176,"충청남도 오븐마루치킨"
"8189",8189,"충청남도 와라와라"
"8197",8197,"충청남도 요녀석"
"8217",8217,"충청남도 육쌈냉면"
"8224",8224,"충청남도 은행골"
"8225",8225,"충청남도 음식백화점"
"8246",8246,"충청남도 자담치킨"
"8269",8269,"충청남도 중앙반점"
"8282",8282,"충청남도 쭈대가제육대가"
"8283",8283,"충청남도 찌마기"
"8298",8298,"충청남도 청년떡볶이"
"8319",8319,"충청남도 칙바이칙"
"8331",8331,"충청남도 커피온리"
"8334",8334,"충청남도 컴포즈커피"
"8348",8348,"충청남도 크리스피프레시"
"8392",8392,"충청남도 포몬스"
"8395",8395,"충청남도 포아이니"
"8397",8397,"충청남도 Poke all day 포케&샐러드"
"8416",8416,"충청남도 피자애"
"8423",8423,"충청남도 하남돼지집"
"8426",8426,"충청남도 하이카오산"
"8427",8427,"충청남도 하코야"
"8439",8439,"충청남도 한와담"
"8447",8447,"충청남도 핵밥"
"8451",8451,"충청남도 형제반점"
"8459",8459,"충청남도 호화반점"
"8464",8464,"충청남도 홍짜장"
"8465",8465,"충청남도 홍춘천치즈닭갈비"
"8466",8466,"충청남도 홍콩반점0410"
"8470",8470,"충청남도 화포식당"
"8474",8474,"충청남도 후라이드참잘하는집"
"8479",8479,"충청남도 흥부찜닭"
"8483",8483,"전라북도 닥터로빈"
"8504",8504,"전라북도 KFC"
"8506",8506,"전라북도 테이스티나인홈"
"8510",8510,"전라북도 가장맛있는족발"
"8528",8528,"전라북도 계경순대국"
"8529",8529,"전라북도 계동치킨"
"8531",8531,"전라북도 계절밥상"
"8548",8548,"전라북도 광수육회"
"8556",8556,"전라북도 국대떡볶이"
"8574",8574,"전라북도 김가네"
"8585",8585,"전라북도 나누다키친"
"8606",8606,"전라북도 니하오마라탕"
"8612",8612,"전라북도 달링스테이크"
"8614",8614,"전라북도 달콤커피"
"8621",8621,"전라북도 대성반점"
"8625",8625,"전라북도 더진국 수육국밥"
"8631",8631,"전라북도 도로시파스타"
"8652",8652,"전라북도 두마리찜닭 두찜"
"8676",8676,"전라북도 라사천마라탕"
"8685",8685,"전라북도 리김밥"
"8689",8689,"전라북도 리춘시장"
"8693",8693,"전라북도 마라영웅"
"8700",8700,"전라북도 마이쥬스"
"8716",8716,"전라북도 메가MGC커피"
"8727",8727,"전라북도 명인만두"
"8734",8734,"전라북도 무모한초밥"
"8736",8736,"전라북도 미니스톱"
"8738",8738,"전라북도 미분당"
"8741",8741,"전라북도 미스터보쌈5378"
"8752",8752,"전라북도 바르다김선생"
"8761",8761,"전라북도 발재반점"
"8762",8762,"전라북도 밥풀릭스"
"8770",8770,"전라북도 백순대본가새맛"
"8788",8788,"전라북도 보드람치킨"
"8791",8791,"전라북도 본가"
"8818",8818,"전라북도 빌리엔젤"
"8826",8826,"전라북도 산쪼메"
"8832",8832,"전라북도 상상오리"
"8837",8837,"전라북도 샐러드박스"
"8841",8841,"전라북도 생어거스틴"
"8844",8844,"전라북도 채선당 샤브보트"
"8851",8851,"전라북도 설맥"
"8853",8853,"전라북도 세광양대창"
"8865",8865,"전라북도 숑숑돈까스"
"8870",8870,"전라북도 숙성회136"
"8883",8883,"전라북도 슬로우캘리"
"8890",8890,"전라북도 신전떡볶이"
"8896",8896,"전라북도 쌀통닭"
"8897",8897,"전라북도 써브웨이"
"8908",8908,"전라북도 아웃백스테이크하우스"
"8911",8911,"전라북도 안주백화점"
"8913",8913,"전라북도 알콩다방"
"8921",8921,"전라북도 얼맥당"
"8922",8922,"전라북도 엉터리생고기"
"8927",8927,"전라북도 엔제리너스"
"8928",8928,"전라북도 엠브로돈까스"
"8929",8929,"전라북도 여우애 김밥"
"8930",8930,"전라북도 역전우동0411"
"8936",8936,"전라북도 오구본가"
"8939",8939,"전라북도 오니기리와이규동"
"8942",8942,"전라북도 오마뎅"
"8954",8954,"전라북도 옥소반"
"8965",8965,"전라북도 완산골명가"
"8969",8969,"전라북도 용구비어"
"8970",8970,"전라북도 용궁반점"
"8980",8980,"전라북도 원조감자탕"
"8982",8982,"전라북도 원할머니보쌈족발"
"9008",9008,"전라북도 인생극장쪽갈비"
"9032",9032,"전라북도 조선부뚜막"
"9034",9034,"전라북도 종로계림닭도리탕원조"
"9037",9037,"전라북도 죠샌드위치"
"9041",9041,"전라북도 중화가정"
"9068",9068,"전라북도 청년다방"
"9071",9071,"전라북도 청년피자"
"9080",9080,"전라북도 춘리마라탕"
"9083",9083,"전라북도 치치"
"9087",9087,"전라북도 치킨매니아"
"9094",9094,"전라북도 카페베네"
"9121",9121,"전라북도 큰집닭강정"
"9123",9123,"전라북도 킹콩떡볶이"
"9169",9169,"전라북도 포트캔커피"
"9179",9179,"전라북도 피자나라치킨공주"
"9180",9180,"전라북도 피자마루"
"9185",9185,"전라북도 피자스톰"
"9191",9191,"전라북도 피자헛"
"9202",9202,"전라북도 한국수"
"9209",9209,"전라북도 한옥집"
"9212",9212,"전라북도 한촌설렁탕"
"9216",9216,"전라북도 해장쿡"
"9243",9243,"전라북도 회장님댁"
"9263",9263,"전라남도 커핀그루나루"
"9273",9273,"전라남도 BBQ치킨"
"9276",9276,"전라남도 T.G.I.F"
"9282",9282,"전라남도 가츠몽"
"9295",9295,"전라남도 경성술집"
"9326",9326,"전라남도 구름계란덮밥"
"9334",9334,"전라남도 귀한족발"
"9362",9362,"전라남도 남영동양문"
"9370",9370,"전라남도 노랑통닭"
"9374",9374,"전라남도 누구나홀딱반한닭"
"9378",9378,"전라남도 다다코리아"
"9379",9379,"전라남도 닥엔돈스"
"9401",9401,"전라남도 델리커리"
"9403",9403,"전라남도 도미노피자"
"9415",9415,"전라남도 동대문엽기떡볶이"
"9444",9444,"전라남도 라멘짱"
"9462",9462,"전라남도 릴리펏"
"9463",9463,"전라남도 마라공방"
"9491",9491,"전라남도 멘무샤"
"9501",9501,"전라남도 모스버거"
"9518",9518,"전라남도 미카도스시"
"9533",9533,"전라남도 밥풀릭스"
"9546",9546,"전라남도 뱃살도둑"
"9556",9556,"전라남도 별난주점"
"9570",9570,"전라남도 봉명동내커피"
"9574",9574,"전라남도 부어치킨"
"9575",9575,"전라남도 부엉이돈가스"
"9584",9584,"전라남도 블랙스미스"
"9600",9600,"전라남도 삼첩분식"
"9606",9606,"전라남도 샌드위밋"
"9610",9610,"전라남도 샐러리아"
"9626",9626,"전라남도 소공동뚝배기집"
"9635",9635,"전라남도 송추가마골 인어반"
"9638",9638,"전라남도 수유리우동집"
"9644",9644,"전라남도 순살만공격"
"9665",9665,"전라남도 싸움의고수"
"9668",9668,"전라남도 써브웨이"
"9684",9684,"전라남도 알콩다방"
"9688",9688,"전라남도 양가네"
"9689",9689,"전라남도 양계장집아들"
"9692",9692,"전라남도 얼맥당"
"9711",9711,"전라남도 오떡"
"9712",9712,"전라남도 오로지라멘"
"9729",9729,"전라남도 온센"
"9732",9732,"전라남도 와이디푸드"
"9734",9734,"전라남도 완미족발"
"9738",9738,"전라남도 요거프레소"
"9740",9740,"전라남도 용구비어"
"9743",9743,"전라남도 용호동낙지"
"9762",9762,"전라남도 육첩반상"
"9813",9813,"전라남도 쥬씨"
"9814",9814,"전라남도 지랄닭발"
"9825",9825,"전라남도 찌마기"
"9827",9827,"전라남도 Chai797"
"9829",9829,"전라남도 찰스숯불김밥"
"9834",9834,"전라남도 처갓집양념치킨"
"9839",9839,"전라남도 청년다방"
"9844",9844,"전라남도 청담이상"
"9849",9849,"전라남도 최고당돈가스"
"9858",9858,"전라남도 치킨매니아"
"9871",9871,"전라남도 커피사피엔스"
"9877",9877,"전라남도 KMGM"
"9907",9907,"전라남도 테그43"
"9915",9915,"전라남도 투다리"
"9934",9934,"전라남도 포몬스"
"9946",9946,"전라남도 프레퍼스 다이어트 푸드"
"9948",9948,"전라남도 플러스82"
"9956",9956,"전라남도 피자스톰"
"9959",9959,"전라남도 피자에땅"
"9961",9961,"전라남도 피자파는집"
"9967",9967,"전라남도 하루엔소쿠"
"9974",9974,"전라남도 한남동그집"
"9982",9982,"전라남도 한우리"
"10014",10014,"전라남도 회장님댁"
"10022",10022,"전라남도 히노아지"
"10026",10026,"경상북도 롯데리아"
"10040",10040,"경상북도 666버거"
"10041",10041,"경상북도 7번가피자"
"10045",10045,"경상북도 BHC치킨"
"10058",10058,"경상북도 강남면옥"
"10061",10061,"경상북도 강순자옛맛김치찌개"
"10069",10069,"경상북도 경양카츠"
"10071",10071,"경상북도 계동치킨"
"10073",10073,"경상북도 계절밥상"
"10088",10088,"경상북도 곱창이야기"
"10108",10108,"경상북도 금별맥주"
"10121",10121,"경상북도 김선생 불닭발"
"10130",10130,"경상북도 남다른감자탕"
"10142",10142,"경상북도 노모어피자"
"10143",10143,"경상북도 놀부보쌈&부대찌개"
"10145",10145,"경상북도 누구나홀딱반한닭"
"10165",10165,"경상북도 대한냉면"
"10186",10186,"경상북도 동대문엽기떡볶이"
"10191",10191,"경상북도 동화반점"
"10233",10233,"경상북도 릴리펏"
"10242",10242,"경상북도 마이쥬스"
"10247",10247,"경상북도 말뚝곱창"
"10254",10254,"경상북도 매화반점"
"10292",10292,"경상북도 바나프레소"
"10296",10296,"경상북도 바스버거"
"10302",10302,"경상북도 반포식스"
"10308",10308,"경상북도 배달삼겹 직구삼"
"10324",10324,"경상북도 벌떡"
"10337",10337,"경상북도 본스치킨"
"10347",10347,"경상북도 북경반점"
"10349",10349,"경상북도 북촌손만두"
"10357",10357,"경상북도 비스트로피자"
"10363",10363,"경상북도 빽보이피자"
"10364",10364,"경상북도 사미반점"
"10370",10370,"경상북도 삼산회관"
"10371",10371,"경상북도 삼첩분식"
"10389",10389,"경상북도 서가앤쿡"
"10403",10403,"경상북도 소소떡볶이"
"10404",10404,"경상북도 손큰할매순대국"
"10413",10413,"경상북도 순남시래기"
"10443",10443,"경상북도 아라치"
"10468",10468,"경상북도 에슬로우"
"10488",10488,"경상북도 오봉집"
"10527",10527,"경상북도 유미카츠"
"10545",10545,"경상북도 이유치킨"
"10548",10548,"경상북도 이화수전통육개장"
"10553",10553,"경상북도 인생아구찜"
"10561",10561,"경상북도 자연별곡"
"10584",10584,"경상북도 쥬씨"
"10593",10593,"경상북도 짝태패밀리"
"10595",10595,"경상북도 쭈대가제육대가"
"10596",10596,"경상북도 찌마기"
"10603",10603,"경상북도 채선당"
"10610",10610,"경상북도 청년다방"
"10625",10625,"경상북도 치치"
"10630",10630,"경상북도 치킨선생"
"10646",10646,"경상북도 컬투치킨"
"10651",10651,"경상북도 콩부자"
"10661",10661,"경상북도 크리스피프레시"
"10679",10679,"경상북도 테트리스찜닭"
"10702",10702,"경상북도 페리카나"
"10708",10708,"경상북도 포아이니"
"10714",10714,"경상북도 프랑킨숯불양념구이치킨"
"10715",10715,"경상북도 프랭크버거"
"10730",10730,"경상북도 피자에땅"
"10732",10732,"경상북도 피자파는집"
"10745",10745,"경상북도 한남동그집"
"10750",10750,"경상북도 한신포차"
"10753",10753,"경상북도 한우리"
"10754",10754,"경상북도 한촌설렁탕"
"10756",10756,"경상북도 할매순대국"
"10776",10776,"경상북도 홍수계찜닭"
"10779",10779,"경상북도 홍콩반점0410"
"10784",10784,"경상북도 황기순의홍두께손칼국수"
"10791",10791,"경상북도 훌랄라 참숯바베큐치킨"
"10798",10798,"경상남도 투뿔등심"
"10800",10800,"경상남도 오므토토마토"
"10805",10805,"경상남도 커핀그루나루"
"10814",10814,"경상남도 88옛날통닭"
"10822",10822,"경상남도 가마치통닭"
"10839",10839,"경상남도 경아식당"
"10848",10848,"경상남도 고돼지"
"10854",10854,"경상남도 고피자"
"10857",10857,"경상남도 곱깨비"
"10866",10866,"경상남도 구도로통닭"
"10867",10867,"경상남도 구룡반점"
"10872",10872,"경상남도 국일반점"
"10881",10881,"경상남도 금화왕돈까스"
"10897",10897,"경상남도 꼬지사께"
"10919",10919,"경상남도 니하오마라탕"
"10920",10920,"경상남도 다다코리아"
"10942",10942,"경상남도 덮밥장사장"
"10958",10958,"경상남도 동래정"
"10973",10973,"경상남도 디초콜릿커피"
"10981",10981,"경상남도 뚱스밥버거"
"10991",10991,"경상남도 라홍방마라탕"
"10999",10999,"경상남도 리나스"
"11001",11001,"경상남도 리얼후라이"
"11039",11039,"경상남도 명륜진사갈비"
"11041",11041,"경상남도 명품키친"
"11047",11047,"경상남도 무모한초밥"
"11072",11072,"경상남도 반장즉석떡볶이"
"11093",11093,"경상남도 버텍스"
"11094",11094,"경상남도 번개반점"
"11127",11127,"경상남도 비비고"
"11133",11133,"경상남도 빽다방"
"11135",11135,"경상남도 사미반점"
"11153",11153,"경상남도 생생돈까스"
"11155",11155,"경상남도 생활맥주"
"11174",11174,"경상남도 소소떡볶이"
"11181",11181,"경상남도 수유리혼밥왕"
"11193",11193,"경상남도 스시화"
"11194",11194,"경상남도 스쿨스토어"
"11195",11195,"경상남도 스테이크어스"
"11198",11198,"경상남도 식껍"
"11213",11213,"경상남도 아딸"
"11223",11223,"경상남도 아재커피"
"11226",11226,"경상남도 알콩다방"
"11248",11248,"경상남도 옐로우피자"
"11294",11294,"경상남도 원조부안집"
"11299",11299,"경상남도 육대장"
"11330",11330,"경상남도 자담치킨"
"11340",11340,"경상남도 제육대가"
"11344",11344,"경상남도 제줏간"
"11357",11357,"경상남도 지지고"
"11360",11360,"경상남도 직화한상"
"11364",11364,"경상남도 짝태패밀리"
"11365",11365,"경상남도 짬뽕지존"
"11371",11371,"경상남도 찰스숯불김밥"
"11394",11394,"경상남도 취향마라"
"11407",11407,"경상남도 카페베네"
"11408",11408,"경상남도 카페보니또"
"11420",11420,"경상남도 코바코"
"11423",11423,"경상남도 콩심"
"11426",11426,"경상남도 퀴즈노스"
"11453",11453,"경상남도 토마토김밥"
"11467",11467,"경상남도 파파이스"
"11470",11470,"경상남도 팔공티"
"11473",11473,"경상남도 페리카나"
"11488",11488,"경상남도 프레퍼스 다이어트 푸드"
"11500",11500,"경상남도 피자애"
"11509",11509,"경상남도 하루엔소쿠"
"11520",11520,"경상남도 한신우동"
"11525",11525,"경상남도 한촌설렁탕"
"11530",11530,"경상남도 해피스푼"
"11547",11547,"경상남도 홍수계찜닭"
"11557",11557,"경상남도 효자동설렁탕"
"11558",11558,"경상남도 후라이드참잘하는집"
"11565",11565,"경상남도 힘난다버거"
"11571",11571,"제주 오므토토마토"
"11572",11572,"제주 스쿨푸드"
"11589",11589,"제주 T.G.I.F"
"11592",11592,"제주 가마로강정"
"11598",11598,"제주 감탄계 숯불치킨"
"11604",11604,"제주 피자생각"
"11606",11606,"제주 걸작떡볶이치킨"
"11610",11610,"제주 경아식당"
"11622",11622,"제주 고반식당"
"11631",11631,"제주 공차"
"11645",11645,"제주 군자대한곱창"
"11649",11649,"제주 그리너"
"11660",11660,"제주 김복남맥주"
"11674",11674,"제주 남선반점"
"11692",11692,"제주 닥엔돈스"
"11703",11703,"제주 대동집"
"11710",11710,"제주 더치앤빈 수육국밥"
"11724",11724,"제주 돌우물"
"11735",11735,"제주 두끼"
"11747",11747,"제주 땅땅치킨"
"11752",11752,"제주 뚱스밥버거"
"11753",11753,"제주 뜸들이다"
"11766",11766,"제주 롤링파스타"
"11801",11801,"제주 메이크어딜리버리"
"11807",11807,"제주 명동칼국수"
"11808",11808,"제주 명동할머니국수"
"11824",11824,"제주 미스사이공"
"11827",11827,"제주 미스터빠삭"
"11831",11831,"제주 미카도스시"
"11849",11849,"제주 배달삼겹돼지되지"
"11865",11865,"제주 번개반점"
"11896",11896,"제주 브롱스"
"11933",11933,"제주 서울반점"
"11934",11934,"제주 선비꼬마김밥"
"11942",11942,"제주 소담촌"
"11947",11947,"제주 솥솥"
"11980",11980,"제주 쌀통닭"
"11989",11989,"제주 아사칸"
"11999",11999,"제주 애슐리퀸즈"
"12042",12042,"제주 온센"
"12059",12059,"제주 우리반점"
"12060",12060,"제주 우리할매떡볶이"
"12093",12093,"제주 인생닭강정"
"12110",12110,"제주 제레미21"
"12111",12111,"제주 제육대가"
"12129",12129,"제주 지코바치킨"
"12135",12135,"제주 짝태패밀리"
"12161",12161,"제주 초장집"
"12167",12167,"제주 치치"
"12183",12183,"제주 커피베이"
"12184",12184,"제주 커피사피엔스"
"12187",12187,"제주 커피인류"
"12193",12193,"제주 콩부자"
"12205",12205,"제주 큰집닭강정"
"12219",12219,"제주 택이네조개전골"
"12224",12224,"제주 토마토김밥"
"12241",12241,"제주 팔공티"
"12277",12277,"제주 피제이피자"
"12315",12315,"제주 혼밥대왕"
"12322",12322,"제주 홍콩반점0411"
"12323",12323,"제주 화락바베큐치킨"
"12329",12329,"제주 후라이드참잘하는집"
"12343",12343,"경기 수원시 스쿨푸드"
"12348",12348,"경기 수원시 키친엑스"
"12352",12352,"경기 수원시 60계 치킨"
"12366",12366,"경기 수원시 가츠몽"
"12371",12371,"경기 수원시 강남면옥"
"12372",12372,"경기 수원시 강남반점"
"12374",12374,"경기 수원시 강순자옛맛김치찌개"
"12391",12391,"경기 수원시 고래맥주창고"
"12398",12398,"경기 수원시 곤트란쉐리에"
"12407",12407,"경기 수원시 구구족"
"12410",12410,"경기 수원시 구름계란덮밥"
"12447",12447,"경기 수원시 남오토코"
"12448",12448,"경기 수원시 남자피자"
"12453",12453,"경기 수원시 네모푸드"
"12462",12462,"경기 수원시 다다코리아"
"12466",12466,"경기 수원시 달래해장"
"12480",12480,"경기 수원시 더진국 수육국밥"
"12492",12492,"경기 수원시 돈카춘"
"12493",12493,"경기 수원시 돈카츠마켈"
"12504",12504,"경기 수원시 동화반점"
"12511",12511,"경기 수원시 드롭탑"
"12513",12513,"경기 수원시 디디치킨"
"12522",12522,"경기 수원시 또봉이통닭"
"12530",12530,"경기 수원시 라밥"
"12551",12551,"경기 수원시 마루샤브"
"12557",12557,"경기 수원시 만랩커피"
"12559",12559,"경기 수원시 만족오향족발"
"12573",12573,"경기 수원시 메콩타이"
"12588",12588,"경기 수원시 무국적식탁"
"12589",12589,"경기 수원시 무모한초밥"
"12591",12591,"경기 수원시 미니스톱"
"12596",12596,"경기 수원시 미스터보쌈5378"
"12607",12607,"경기 수원시 바르다김선생"
"12611",12611,"경기 수원시 바푸리포"
"12612",12612,"경기 수원시 박가부대"
"12620",12620,"경기 수원시 배달삼겹돼지되지"
"12642",12642,"경기 수원시 보돌미역"
"12645",12645,"경기 수원시 보승회관"
"12656",12656,"경기 수원시 부라더키친"
"12666",12666,"경기 수원시 브라이트스타"
"12670",12670,"경기 수원시 비스트로피자"
"12688",12688,"경기 수원시 상해반점"
"12705",12705,"경기 수원시 선비꼬마김밥"
"12707",12707,"경기 수원시 설빙"
"12709",12709,"경기 수원시 세븐일레븐"
"12726",12726,"경기 수원시 순남시래기"
"12736",12736,"경기 수원시 스쿨스토어"
"12764",12764,"경기 수원시 아이스걸크림보이"
"12769",12769,"경기 수원시 압구정 순대국"
"12781",12781,"경기 수원시 에슬로우"
"12787",12787,"경기 수원시 연안식당"
"12790",12790,"경기 수원시 옐로우피자"
"12798",12798,"경기 수원시 오목집"
"12803",12803,"경기 수원시 오븐에빠진닭"
"12804",12804,"경기 수원시 오사카우동"
"12824",12824,"경기 수원시 용구비어"
"12830",12830,"경기 수원시 우리반점"
"12832",12832,"경기 수원시 우성반점"
"12833",12833,"경기 수원시 우이락"
"12858",12858,"경기 수원시 이유치킨"
"12862",12862,"경기 수원시 인기명"
"12866",12866,"경기 수원시 인생아구찜"
"12909",12909,"경기 수원시 찌마기"
"12923",12923,"경기 수원시 청년다방"
"12943",12943,"경기 수원시 치킨선생"
"12966",12966,"경기 수원시 콩카페"
"12969",12969,"경기 수원시 큐큐면관"
"12974",12974,"경기 수원시 크리스피프레시"
"12975",12975,"경기 수원시 큰맘할매순대국"
"12977",12977,"경기 수원시 킹부대찌개"
"12986",12986,"경기 수원시 탐앤탐스"
"12991",12991,"경기 수원시 테그43"
"12994",12994,"경기 수원시 토리키치"
"13001",13001,"경기 수원시 투썸플레이스"
"13002",13002,"경기 수원시 틈새라면"
"13007",13007,"경기 수원시 파스타집이야"
"13015",13015,"경기 수원시 페리카나"
"13017",13017,"경기 수원시 포메인"
"13018",13018,"경기 수원시 포몬스"
"13025",13025,"경기 수원시 폴바셋"
"13027",13027,"경기 수원시 프랑킨숯불양념구이치킨"
"13037",13037,"경기 수원시 피자선생"
"13040",13040,"경기 수원시 피자스톰"
"13042",13042,"경기 수원시 피자애"
"13044",13044,"경기 수원시 피자탑"
"13049",13049,"경기 수원시 하남돼지집"
"13055",13055,"경기 수원시 한강반점"
"13059",13059,"경기 수원시 한사리감자탕&뼈구이"
"13079",13079,"경기 수원시 호시타코야끼"
"13082",13082,"경기 수원시 호치킨"
"13092",13092,"경기 수원시 홍콩반점0410"
"13111",13111,"경기 용인시 투뿔등심"
"13123",13123,"경기 용인시 60계 치킨"
"13128",13128,"경기 용인시 BBQ치킨"
"13131",13131,"경기 용인시 T.G.I.F"
"13135",13135,"경기 용인시 가마치통닭"
"13161",13161,"경기 용인시 고돼지"
"13194",13194,"경기 용인시 금화왕돈까스"
"13221",13221,"경기 용인시 냠냠족발&보쌈"
"13227",13227,"경기 용인시 놀부보쌈&부대찌개"
"13254",13254,"경기 용인시 덮다"
"13284",13284,"경기 용인시 디디치킨"
"13285",13285,"경기 용인시 디저트40"
"13291",13291,"경기 용인시 떡볶이참잘하는집 떡참"
"13298",13298,"경기 용인시 라떼킹"
"13318",13318,"경기 용인시 마라공방"
"13328",13328,"경기 용인시 만랩커피"
"13331",13331,"경기 용인시 말뚝곱창"
"13346",13346,"경기 용인시 멘무샤"
"13351",13351,"경기 용인시 명랑시대쌀핫도그"
"13355",13355,"경기 용인시 모랑해물솥밥"
"13365",13365,"경기 용인시 미소야"
"13387",13387,"경기 용인시 발재반점"
"13394",13394,"경기 용인시 배떡"
"13408",13408,"경기 용인시 벌떡"
"13413",13413,"경기 용인시 보돌미역"
"13430",13430,"경기 용인시 부엉이돈가스"
"13440",13440,"경기 용인시 비비고"
"13456",13456,"경기 용인시 삼청당"
"13457",13457,"경기 용인시 삼형제김밥"
"13464",13464,"경기 용인시 샐러디"
"13481",13481,"경기 용인시 소공동뚝배기집"
"13482",13482,"경기 용인시 소녀방앗간"
"13490",13490,"경기 용인시 송추가마골 인어반"
"13497",13497,"경기 용인시 순남시래기"
"13501",13501,"경기 용인시 쉐이크쉑"
"13508",13508,"경기 용인시 스테이크어스"
"13511",13511,"경기 용인시 식껍"
"13522",13522,"경기 용인시 쌀통닭"
"13524",13524,"경기 용인시 썬더치킨"
"13528",13528,"경기 용인시 아마스빈"
"13530",13530,"경기 용인시 아빠곰탕"
"13546",13546,"경기 용인시 어사출또"
"13555",13555,"경기 용인시 여우애 김밥"
"13588",13588,"경기 용인시 와플반트"
"13592",13592,"경기 용인시 왕손피자"
"13604",13604,"경기 용인시 우이락"
"13668",13668,"경기 용인시 쥬씨"
"13686",13686,"경기 용인시 창고43"
"13700",13700,"경기 용인시 청춘닭꼬치"
"13704",13704,"경기 용인시 최고당돈가스"
"13712",13712,"경기 용인시 치킨마루"
"13724",13724,"경기 용인시 커피니"
"13732",13732,"경기 용인시 KMGM"
"13733",13733,"경기 용인시 코바코"
"13736",13736,"경기 용인시 콩심"
"13745",13745,"경기 용인시 크리스피프레시"
"13746",13746,"경기 용인시 큰맘할매순대국"
"13749",13749,"경기 용인시 킹콩떡볶이"
"13753",13753,"경기 용인시 타코비"
"13760",13760,"경기 용인시 태화반점"
"13763",13763,"경기 용인시 테트리스찜닭"
"13764",13764,"경기 용인시 토리아에즈"
"13780",13780,"경기 용인시 파파이스"
"13784",13784,"경기 용인시 팔당냉면"
"13789",13789,"경기 용인시 포몬스"
"13799",13799,"경기 용인시 프랭크버거"
"13808",13808,"경기 용인시 피자선생"
"13840",13840,"경기 용인시 할매순대국"
"13867",13867,"경기 용인시 화포식당"
"13888",13888,"경기 고양시 커피빈"
"13908",13908,"경기 고양시 가츠몽"
"13910",13910,"경기 고양시 감탄떡볶이"
"13917",13917,"경기 고양시 피자생각"
"13920",13920,"경기 고양시 경성밥상"
"13954",13954,"경기 고양시 국민낙곱새"
"13961",13961,"경기 고양시 그램그램"
"13965",13965,"경기 고양시 금화왕돈까스"
"13967",13967,"경기 고양시 기소야"
"13968",13968,"경기 고양시 기영이 숯불두마리치킨"
"13970",13970,"경기 고양시 길동우동"
"13976",13976,"경기 고양시 김선생 불닭발"
"13981",13981,"경기 고양시 꼬지사께"
"14009",14009,"경기 고양시 달링스테이크"
"14020",14020,"경기 고양시 대한냉면"
"14022",14022,"경기 고양시 더진국 수육국밥"
"14031",14031,"경기 고양시 돈까스짱"
"14042",14042,"경기 고양시 동래정"
"14053",14053,"경기 고양시 드롭탑"
"14059",14059,"경기 고양시 따띠삼겹"
"14070",14070,"경기 고양시 라멘짱"
"14072",14072,"경기 고양시 라밥"
"14076",14076,"경기 고양시 라화쿵부"
"14085",14085,"경기 고양시 리얼후라이"
"14098",14098,"경기 고양시 마케집"
"14127",14127,"경기 고양시 모스버거"
"14135",14135,"경기 고양시 미분당"
"14143",14143,"경기 고양시 미친피자"
"14144",14144,"경기 고양시 미카도스시"
"14162",14162,"경기 고양시 배달삼겹돼지되지"
"14165",14165,"경기 고양시 배떡"
"14175",14175,"경기 고양시 버거앤프라이즈"
"14188",14188,"경기 고양시 본가"
"14191",14191,"경기 고양시 본설렁탕"
